start_time,end_time,open,high,low,close,volume
1277818200,1277904600,3.8,5,3.507998,4.778,93916400
1277904600,1277991000,5.157998,6.08384,4.66,4.766,85972000
1277991000,1278077400,5,5.184,4.054,4.392002,41149315
1278077400,1278423000,4.6,4.620002,3.742002,3.84,25709045
1278423000,1278509400,4,4,3.166,3.222,34396485
1278509400,1278595800,3.279998,3.326,2.996,3.16,34624570
1278595800,1278682200,3.228,3.504,3.114,3.492002,38597695
1278682200,1278941400,3.516,3.579998,3.31,3.479998,20293030
1278941400,1279027800,3.59,3.614002,3.4,3.41,11017850
1279027800,1279114200,3.47876,3.728,3.379998,3.628,13400300
1279114200,1279200600,3.588,4.029998,3.55202,3.968,20980545
1279200600,1279287000,3.988,4.3,3.8,3.978,18726485
1279287000,1279546200,4.14,4.26,4.01,4.128,13106050
1279546200,1279632600,4.274,4.45,4.184,4.382,12432445
1279632600,1279719000,4.370002,4.370002,4.01,4.06,9126155
1279719000,1279805400,4.132,4.179998,3.9,4.044,6267210
1279805400,1279891800,4.1,4.25,4.074,4.2,4811725
1279891800,1280151000,4.238,4.312,4.212,4.257998,3270245
1280151000,1280237400,4.3,4.3,4.06,4.19,4612265
1280237400,1280323800,4.182,4.235998,4.051998,4.11,3098375
1280323800,1280410200,4.11,4.179998,4.101998,4.144,2335915
1280410200,1280496600,4.154,4.176,4,4.070002,3079550
1280496600,1280755800,4.04,4.088,3.91,3.988,2134150
1280755800,1280842200,4.1,4.194,4.066598,4.184,3595725
1280842200,1280928600,4.2,4.39,4.164002,4.39,6155115
1280928600,1281015000,4.39,4.435998,4.170002,4.251998,4603780
1281015000,1281101400,4.307998,4.31,4.01,4.09,3981900
1281101400,1281360600,4.020002,4.03202,3.904,3.918,3710690
1281360600,1281447000,3.979998,3.996,3.89,3.920002,4063280
1281447000,1281533400,3.929998,3.929998,3.764002,3.806,6406430
1281533400,1281619800,3.738,3.776,3.570002,3.579998,3988250
1281619800,1281706200,3.56,3.579998,3.478,3.520002,3456405
1281706200,1281965400,3.635998,3.69,3.53208,3.664002,3172565
1281965400,1282051800,3.69,3.76,3.65232,3.756,2431055
1282051800,1282138200,3.792002,3.879998,3.756,3.829998,2239405
1282138200,1282224600,3.918,3.918,3.720002,3.754,3006660
1282224600,1282311000,3.707998,3.85,3.666,3.757998,2895410
1282311000,1282570200,3.729998,3.822,3.70202,3.820002,1487495
1282570200,1282656600,3.818,4.07782,3.8,4.026,5440145
1282656600,1282743000,3.85,3.942002,3.79,3.84,3365370
1282743000,1282829400,3.832,3.996,3.712,3.979998,2516445
1282829400,1282915800,3.978,4.054,3.920002,3.95,2168680
1282915800,1283175000,3.95,3.973002,3.9,3.94,1898210
1283175000,1283261400,3.94,4.038,3.922,3.974,3663655
1283261400,1283347800,3.932,3.957998,3.866,3.896,1005060
1283347800,1283434200,3.924,4.138,3.920002,4.09,2478425
1283434200,1283520600,4.074,4.248002,4.06206,4.212,2435300
1283520600,1283866200,4.174,4.26,4.132,4.21,2173780
1283866200,1283952600,4.122,4.2,4.1,4.107998,1216675
1283952600,1284039000,4.132,4.19,4.120002,4.179998,1441910
1284039000,1284125400,4.2,4.21,4.138,4.142002,1880985
1284125400,1284384600,4.15,4.185998,3.951998,4.034,1932855
1284384600,1284471000,4.178,4.179902,4.1,4.144,1803515
1284471000,1284557400,4.107998,4.320002,4.106,4.224,3273145
1284557400,1284643800,4.196,4.4,4.157998,4.396,3423790
1284643800,1284730200,4.429998,4.632,4.168,4.188,13429400
1284730200,1284989400,4.204,4.264002,3.96,4.046,5992290
1284989400,1285075800,4.134,4.270002,4.032,4.210998,4737375
1285075800,1285162200,4.178,4.31,4.134,4.154,3980000
1285162200,1285248600,4.174,4.19,3.96,3.974,4814080
1285248600,1285335000,3.978,4.028,3.9,3.912,3340380
1285335000,1285594200,3.99,4.038,3.929998,4.020002,2894935
1285594200,1285680600,4.079998,4.162,4.01,4.106,2092985
1285680600,1285767000,4.207998,4.298002,4.151998,4.279998,6072325
1285767000,1285853400,4.238,4.406,4.226,4.396,9847285
1285853400,1285939800,4.4,4.42998,4.038,4.081,10983125
1285939800,1286199000,4.138,4.15,4.062,4.120002,2995355
1286199000,1286285400,4.085998,4.234,4.06,4.198002,3217995
1286285400,1286371800,4.229998,4.256,4.201998,4.224,1659680
1286371800,1286458200,4.212,4.2516,4.064002,4.092002,1567760
1286458200,1286544600,4.114002,4.128,4.068,4.085998,705100
1286544600,1286803800,4.085998,4.157998,4.078,4.085998,1340550
1286803800,1286890200,4.088,4.139802,4.014002,4.048002,855970
1286890200,1286976600,4.04,4.05658,4.006,4.048002,1219560
1286976600,1287063000,4.128,4.170002,4.072,4.107998,1602705
1287063000,1287149400,4.2,4.205982,4.079998,4.15,1473100
1287149400,1287408600,4.178,4.179998,4.05,4.107998,1424200
1287408600,1287495000,4.104,4.127978,4.044,4.046,813645
1287495000,1287581400,4.04,4.08122,4,4.01,1225635
1287581400,1287667800,4.032,4.138,4.007998,4.129998,1562220
1287667800,1287754200,4.122,4.19,4.09,4.15,2089995
1287754200,1288013400,4.135998,4.185998,4.11,4.144,805105
1288013400,1288099800,4.188,4.196,4.146,4.170002,593070
1288099800,1288186200,4.16,4.374,4.101998,4.272,3304205
1288186200,1288272600,4.25,4.276,4.129998,4.2,1782500
1288272600,1288359000,4.278,4.3,4.192002,4.238,1120950
1288359000,1288618200,4.228,4.370002,4.2104,4.368,1403410
1288618200,1288704600,4.388,4.55,4.262,4.282,2278920
1288704600,1288791000,4.335998,4.37584,4.21,4.25,1612325
1288791000,1288877400,4.256,4.5,4.232,4.354,1870995
1288877400,1288963800,4.520002,5.066,4.4302,4.979998,9374005
1288963800,1289226600,4.974,4.994,4.744,4.888,5054730
1289226600,1289313000,4.9,5,4.806,4.996,2547375
1289313000,1289399400,5,5.138,4.810018,4.926,4788745
1289399400,1289485800,4.896,5.994,4.81,5.872,15305190
1289485800,1289572200,5.720002,5.820002,5.466,5.607,9725470
1289572200,1289831400,5.65,6.1,5.614002,5.968,13645845
1289831400,1289917800,6.044,6.5879,6.044,6.16,13125665
1289917800,1290004200,6.2,6.279998,5.684,5.934,6738655
1290004200,1290090600,6.04,6.15,5.722,5.898002,3751705
1290090600,1290177000,6.134,6.148002,5.78402,5.978,4781240
1290177000,1290436200,6.032,6.274,5.94,6.198002,5752470
1290436200,1290522600,6.314002,6.69,6.3,6.679998,7649860
1290522600,1290609000,6.657998,7.135998,6.438018,6.914002,7890350
1290609000,1290781800,7.054,7.194,6.8668,7.094,7124795
1290781800,1291041000,7.120002,7.2,6.95,7.064002,1752770
1291041000,1291127400,7.08244,7.19,6.666,6.866,5727715
1291127400,1291213800,6.748002,7.066,6.682,7.066,11114790
1291213800,1291300200,7.174,7.284,6.69,6.870002,6495875
1291300200,1291386600,6.801998,6.8595,6.24,6.470002,10034835
1291386600,1291645800,6.401998,6.45,6.174,6.298002,5802300
1291645800,1291732200,6.270002,6.29,5.912,6.062,6371875
1291732200,1291818600,6.098002,6.479998,6.01,6.312,6557740
1291818600,1291905000,6.496,6.498002,6.304,6.474,3304900
1291905000,1291991400,6.501998,6.544,6.329998,6.41,2029915
1291991400,1292250600,6.41,6.584,6.22602,6.304,2146905
1292250600,1292337000,6.328,6.354,6.079998,6.11,2051655
1292337000,1292423400,6.057998,6.077978,5.5522,5.706,8834550
1292423400,1292509800,5.734,5.994,5.706,5.920002,3714500
1292509800,1292596200,6,6.182,5.93002,6.162,3950350
1292596200,1292855400,6.268,6.307998,6.142002,6.272,4069085
1292855400,1292941800,6.328,6.438,6.251998,6.34,2616600
1292941800,1293028200,6.36,6.538,6.34202,6.451998,3888390
1293028200,1293114600,6.45,6.572,6.34,6.526,4166280
1293114600,1293460200,6.251998,6.496,5.984,6.018,7785625
1293460200,1293546600,5.604,5.716,5.012,5.1098,46511640
1293546600,1293633000,5.170002,5.35,5,5.282,20282945
1293633000,1293719400,5.406,5.601998,5.3,5.546,16597150
1293719400,1293805800,5.54,5.579998,5.276,5.3,10205335
1293805800,1294065000,5.314002,5.45,5.3,5.326,7089235
1294065000,1294151400,5.368,5.399978,5.179998,5.324,6420420
1294151400,1294237800,5.332,5.39,5.204,5.334,5945355
1294237800,1294324200,5.296,5.379998,5.238,5.366,7234345
1294324200,1294410600,5.366,5.6,5.362,5.576,10306085
1294410600,1294669800,5.6,5.716,5.579998,5.648002,11247700
1294669800,1294756200,5.634,5.735998,5.61,5.69,6714060
1294756200,1294842600,5.718,5.742002,5.384,5.392002,8556775
1294842600,1294929000,5.401998,5.4798,5.304,5.392002,4823610
1294929000,1295015400,5.392002,5.394,5.232,5.244,3617610
1295015400,1295361000,5.229998,5.316,5.122,5.15,5960605
1295361000,1295447400,5.096,5.128,4.95,5.128,8119195
1295447400,1295533800,5.054,5.094,4.75,4.806,11857570
1295533800,1295620200,4.806,4.89,4.474,4.524,11399790
1295620200,1295879400,4.624,4.718,4.542002,4.607998,6084705
1295879400,1295965800,4.706,4.962,4.646,4.898002,8225945
1295965800,1296052200,4.929998,4.978,4.804,4.935998,6357785
1296052200,1296138600,4.942002,4.976,4.820002,4.95,5399335
1296138600,1296225000,4.948002,5.016,4.906,4.984,4478275
1296225000,1296484200,4.976,4.976,4.75,4.801998,5244055
1296484200,1296570600,4.81,4.824,4.7,4.820002,4157875
1296570600,1296657000,4.862,4.946,4.707998,4.782,3538955
1296657000,1296743400,4.832,4.835998,4.733802,4.788,2847360
1296743400,1296829800,4.764002,4.779998,4.629998,4.726,2560335
1296829800,1297089000,4.688,4.734,4.644,4.692002,2719585
1297089000,1297175400,4.651998,4.651998,4.576,4.614002,4475055
1297175400,1297261800,4.756,5.05,4.6,4.898002,17525915
1297261800,1297348200,4.826,4.835998,4.557998,4.642002,13181310
1297348200,1297434600,4.651998,4.728,4.562,4.643,4180100
1297434600,1297693800,4.65,4.75,4.588,4.65,3183010
1297693800,1297780200,4.728,4.828,4.61,4.616,6417020
1297780200,1297866600,4.601998,4.634,4.512,4.568,4804255
1297866600,1297953000,4.620002,4.994,4.61402,4.946,20579025
1297953000,1298039400,4.926,5.098002,4.71,4.720002,13099710
1298039400,1298385000,4.666,4.698002,4.592002,4.635998,11853850
1298385000,1298471400,4.576,4.6,4.356,4.374,10322700
1298471400,1298557800,4.435998,4.5,4.222,4.366,8028540
1298557800,1298644200,4.356,4.516,4.3,4.506,5277250
1298644200,1298903400,4.562,4.770002,4.538,4.722,6736285
1298903400,1298989800,4.748002,4.820002,4.7,4.778,5255530
1298989800,1299076200,4.81,4.864002,4.74,4.788,5531750
1299076200,1299162600,4.764002,4.856,4.745002,4.804,3316470
1299162600,1299249000,4.896,4.957998,4.812,4.872,3200700
1299249000,1299508200,4.896,4.998002,4.756,4.99,7900500
1299508200,1299594600,4.985998,5.079998,4.94,4.988,10167655
1299594600,1299681000,4.920002,4.992002,4.8,4.932,6999255
1299681000,1299767400,4.932,4.998002,4.854,4.944,4623605
1299767400,1299853800,4.888,4.898002,4.746,4.801998,5085235
1299853800,1300109400,4.770002,4.85,4.706,4.814002,4653970
1300109400,1300195800,4.764002,4.8,4.64,4.65,5829855
1300195800,1300282200,4.44,4.592002,4.36,4.59,6594345
1300282200,1300368600,4.572,4.65,4.538,4.564002,5848380
1300368600,1300455000,4.648002,4.685998,4.528,4.562,4612520
1300455000,1300714200,4.638,4.638,4.501998,4.592002,3439115
1300714200,1300800600,4.61,4.61,4.507998,4.546,2058250
1300800600,1300887000,4.546,4.572,4.4,4.438,2914065
1300887000,1300973400,4.422,4.454,4.354,4.442002,2113965
1300973400,1301059800,4.428,4.476,4.396,4.466,2310800
1301059800,1301319000,4.485998,4.6,4.479998,4.55,2839610
1301319000,1301405400,4.54,4.70776,4.51,4.65,5290090
1301405400,1301491800,4.66,4.8,4.642002,4.784,3777955
1301491800,1301578200,4.822,4.898002,4.601998,4.742002,6119385
