start_time,end_time,open,high,low,close,volume
345479400,345738600,0.128348,0.128348,0.128348,0.128348,469034068
345738600,345825000,0.121652,0.121652,0.121652,0.121652,175884972
345825000,345911400,0.112723,0.112723,0.112723,0.112723,105728104
345911400,345997800,0.115513,0.115513,0.115513,0.115513,86441684
345997800,346084200,0.118861,0.118861,0.118861,0.118861,73449672
346084200,346343400,0.126116,0.126116,0.126116,0.126116,48630448
346343400,346429800,0.132254,0.132254,0.132254,0.132254,37363236
346429800,346516200,0.137835,0.137835,0.137835,0.137835,46950444
346516200,346689000,0.145089,0.145089,0.145089,0.145089,48003248
346689000,346948200,0.158482,0.158482,0.158482,0.158482,55574452
346948200,347034600,0.160714,0.160714,0.160714,0.160714,93161692
347034600,347121000,0.156808,0.156808,0.156808,0.156808,68880068
347121000,347293800,0.152344,0.152344,0.152344,0.152344,35750432
347293800,347553000,0.154018,0.154018,0.154018,0.154018,21660820
347553000,347639400,0.150669,0.150669,0.150669,0.150669,35728032
347639400,347725800,0.143973,0.143973,0.143973,0.143973,45158444
347725800,347812200,0.137835,0.137835,0.137835,0.137835,55686452
347812200,347898600,0.135045,0.135045,0.135045,0.135045,39827236
347898600,348157800,0.142299,0.142299,0.142299,0.142299,21504020
348157800,348244200,0.141183,0.141183,0.141183,0.141183,23699220
348244200,348330600,0.136161,0.136161,0.136161,0.136161,23049620
348330600,348417000,0.136719,0.136719,0.136719,0.136719,14291212
348417000,348503400,0.139509,0.139509,0.139509,0.139509,14067212
348503400,348762600,0.138393,0.138393,0.138393,0.138393,13395212
348762600,348849000,0.146763,0.146763,0.146763,0.146763,41574440
348849000,348935400,0.142299,0.142299,0.142299,0.142299,30083228
348935400,349021800,0.145089,0.145089,0.145089,0.145089,15904012
349021800,349108200,0.146763,0.146763,0.146763,0.146763,35548832
349108200,349367400,0.146205,0.146205,0.146205,0.146205,11222408
349367400,349453800,0.143973,0.143973,0.143973,0.143973,24640024
349453800,349540200,0.142857,0.142857,0.142857,0.142857,23699220
349540200,349626600,0.138393,0.138393,0.138393,0.138393,28156828
349626600,349713000,0.13337,0.13337,0.13337,0.13337,43904040
349713000,349972200,0.126116,0.126116,0.126116,0.126116,46188844
349972200,350058600,0.118861,0.118861,0.118861,0.118861,23766420
350058600,350145000,0.123326,0.123326,0.123326,0.123326,19152016
350145000,350231400,0.12779,0.12779,0.12779,0.12779,27865624
350231400,350317800,0.12779,0.12779,0.12779,0.12779,7929604
350317800,350577000,0.128348,0.128348,0.128348,0.128348,13865612
350577000,350663400,0.121652,0.121652,0.121652,0.121652,16755216
350663400,350749800,0.121652,0.121652,0.121652,0.121652,18345616
350749800,350836200,0.117745,0.117745,0.117745,0.117745,13843212
350836200,350922600,0.116629,0.116629,0.116629,0.116629,14560012
350922600,351268200,0.113839,0.113839,0.113839,0.113839,11155208
351268200,351354600,0.116629,0.116629,0.116629,0.116629,12275212
351354600,351441000,0.121652,0.121652,0.121652,0.121652,19241616
351441000,351527400,0.114397,0.114397,0.114397,0.114397,22310420
351527400,351786600,0.108259,0.108259,0.108259,0.108259,24371224
351786600,351873000,0.109933,0.109933,0.109933,0.109933,14112012
351873000,351959400,0.106027,0.106027,0.106027,0.106027,16979216
351959400,352045800,0.112723,0.112723,0.112723,0.112723,19488016
